model_name,relation_pair_id,layer_idx,relation_transfer_pct,overwrite_pct,failure_pct,n
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,14,1.0,0.0,0.0,33
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,16,0.9696969696969697,0.030303030303030304,0.0,33
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,18,0.9696969696969697,0.030303030303030304,0.0,33
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,20,0.9696969696969697,0.030303030303030304,0.0,33
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,22,0.9090909090909091,0.09090909090909091,0.0,33
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,24,0.9090909090909091,0.09090909090909091,0.0,33
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,26,0.8484848484848485,0.15151515151515152,0.0,33
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,28,0.8181818181818182,0.18181818181818182,0.0,33
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,30,0.7878787878787878,0.21212121212121213,0.0,33
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,0,0.0,0.0,1.0,12
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,2,0.0,0.08333333333333333,0.9166666666666666,12
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,4,0.4166666666666667,0.08333333333333333,0.5,12
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,6,0.8333333333333334,0.08333333333333333,0.08333333333333333,12
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,8,0.9166666666666666,0.08333333333333333,0.0,12
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,10,0.9166666666666666,0.08333333333333333,0.0,12
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,12,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,14,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,16,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,18,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,20,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,22,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,24,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,26,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,28,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,comp_recv__opp_donor,30,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,0,0.0,0.0,1.0,33
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,2,0.0,0.030303030303030304,0.9696969696969697,33
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,4,0.0,0.06060606060606061,0.9393939393939394,33
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,6,0.030303030303030304,0.09090909090909091,0.8787878787878788,33
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,8,0.3939393939393939,0.030303030303030304,0.5757575757575758,33
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,10,0.6060606060606061,0.030303030303030304,0.36363636363636365,33
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,12,0.8484848484848485,0.06060606060606061,0.09090909090909091,33
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,14,0.9393939393939394,0.06060606060606061,0.0,33
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,16,0.9393939393939394,0.06060606060606061,0.0,33
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,18,0.9393939393939394,0.06060606060606061,0.0,33
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,20,0.9393939393939394,0.06060606060606061,0.0,33
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,22,0.8787878787878788,0.12121212121212122,0.0,33
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,24,0.8787878787878788,0.12121212121212122,0.0,33
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,26,0.8484848484848485,0.15151515151515152,0.0,33
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,28,0.8484848484848485,0.15151515151515152,0.0,33
meta-llama/Meta-Llama-3-8B,lang_recv__cap_donor,30,0.8484848484848485,0.15151515151515152,0.0,33
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,0,0.0,0.0,1.0,12
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,2,0.0,0.0,1.0,12
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,4,0.0,0.0,1.0,12
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,6,0.0,0.0,1.0,12
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,8,0.0,0.08333333333333333,0.9166666666666666,12
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,10,0.0,0.08333333333333333,0.9166666666666666,12
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,12,0.0,0.08333333333333333,0.9166666666666666,12
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,14,0.8333333333333334,0.16666666666666666,0.0,12
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,16,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,18,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,20,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,22,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,24,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,26,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,28,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,opp_recv__comp_donor,30,1.0,0.0,0.0,12
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,0,0.0,0.0,1.0,21
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,2,0.0,0.0,1.0,21
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,4,0.0,0.047619047619047616,0.9523809523809523,21
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,6,0.0,0.0,1.0,21
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,8,0.0,0.0,1.0,21
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,10,0.0,0.047619047619047616,0.9523809523809523,21
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,12,0.0,0.047619047619047616,0.9523809523809523,21
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,14,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,16,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,18,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,20,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,22,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,24,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,26,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,28,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,part_recv__past_donor,30,1.0,0.0,0.0,21
