model_name,steer_type,zone,source_family,layer_idx,alpha,target_hit_pct,random_target_hit_pct,original_pct,random_original_pct,mixed_pct,random_mixed_pct,n
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,20,1.5,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,1.0,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,20,2.0,0.0,0.0,0.0,0.0,1.0,1.0,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,20,3.0,0.0,0.0,0.0,0.0,1.0,1.0,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,22,0.5,0.0,0.0,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.6666666666666666,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,22,1.0,0.0,0.0,0.4166666666666667,0.08333333333333333,0.5833333333333334,0.9166666666666666,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,22,1.5,0.0,0.0,0.16666666666666666,0.08333333333333333,0.8333333333333334,0.9166666666666666,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,22,2.0,0.0,0.0,0.0,0.0,1.0,1.0,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,22,3.0,0.0,0.0,0.0,0.0,1.0,1.0,12
Qwen/Qwen2.5-3B,entity_mid,mid,language,14,0.5,0.0,0.0,0.9696969696969697,1.0,0.030303030303030304,0.0,33
Qwen/Qwen2.5-3B,entity_mid,mid,language,14,1.0,0.0,0.0,0.9696969696969697,0.9393939393939394,0.030303030303030304,0.06060606060606061,33
Qwen/Qwen2.5-3B,entity_mid,mid,language,14,1.5,0.030303030303030304,0.030303030303030304,0.6060606060606061,0.6666666666666666,0.36363636363636365,0.30303030303030304,33
Qwen/Qwen2.5-3B,entity_mid,mid,language,14,2.0,0.12121212121212122,0.0,0.24242424242424243,0.12121212121212122,0.6363636363636364,0.8787878787878788,33
Qwen/Qwen2.5-3B,entity_mid,mid,language,14,3.0,0.0,0.0,0.0,0.0,1.0,1.0,33
Qwen/Qwen2.5-3B,entity_mid,mid,language,16,0.5,0.0,0.0,0.9696969696969697,0.9696969696969697,0.030303030303030304,0.030303030303030304,33
Qwen/Qwen2.5-3B,entity_mid,mid,language,16,1.0,0.0,0.0,0.7575757575757576,0.8787878787878788,0.24242424242424243,0.12121212121212122,33
Qwen/Qwen2.5-3B,entity_mid,mid,language,16,1.5,0.06060606060606061,0.06060606060606061,0.3939393939393939,0.6363636363636364,0.5454545454545454,0.30303030303030304,33
Qwen/Qwen2.5-3B,entity_mid,mid,language,16,2.0,0.030303030303030304,0.030303030303030304,0.12121212121212122,0.15151515151515152,0.8484848484848485,0.8181818181818182,33
Qwen/Qwen2.5-3B,entity_mid,mid,language,16,3.0,0.030303030303030304,0.0,0.0,0.0,0.9696969696969697,1.0,33
Qwen/Qwen2.5-3B,entity_mid,mid,language,18,0.5,0.0,0.0,0.9696969696969697,0.9696969696969697,0.030303030303030304,0.030303030303030304,33
Qwen/Qwen2.5-3B,entity_mid,mid,language,18,1.0,0.030303030303030304,0.0,0.7575757575757576,0.8484848484848485,0.21212121212121213,0.15151515151515152,33
Qwen/Qwen2.5-3B,entity_mid,mid,language,18,1.5,0.18181818181818182,0.0,0.30303030303030304,0.5757575757575758,0.5151515151515151,0.42424242424242425,33
